No,TI024111,TI024114,PI024111,PI024114,PDI024112,FI024117,ZI024113,TI024202,TI024207,TI024208,PI024202,PI024207,PI024208,FI024202,FI024208,TI024301,PI02001A,FI02001A,SI0201,TIA024500A,TIA024501A,TIA024502A,TIA024503A,TIA024504A,TIA024505A,TIA024506A,TIA024507A,TIA024508A,TIA024509A,TIA024510A,TIA024511A,TIA024512A,TIA024513A,TIA024514A,TIA024515A,VIA024502X,VIA024502Y,VIA024503X,VIA024503Y,VIA024506X,VIA024506Y,VIA024507X,VIA024507Y,VIA024508X,VIA024508Y,VIA024511X,VIA024511Y,VIA024514X,VIA024514Y,VIA024515X,VIA024515Y,ZIA024503A,ZIA024503B,ZIA024504A,ZIA024504B,ZIA024512A,ZIA024512B,K024504,K024515,II024501,II024502,SI024402,SI024403,SI024404,SI024405,SI024406
1,23.64,87.38,95.36,0.6,6.95,195041.5,43.36,4600,185.52,32.23,0.58,6.76,6.77,140195.3,73616.34,58.04,9.09,4.86,4600,71.85,55.77,70.72,52.95,63.46,59.84,54.71,67.75,58.52,78.11,54.75,57.06,54.75,55.3,80.79,58.89,34.49,51.8,43.77,53.52,7.06,11.64,10.51,10.31,8.68,13.21,15.55,17.85,23.06,19.51,18.13,27.6,-0.27,-0.27,-0.46,-0.42,0.28,0.29,11558.9,4601.19,0,0,4600,4600,4600,4601,4600
2,22,87.89,96.18,0.6,6.8,193544.9,41.46,4604,185.23,32.5,0.58,6.71,6.72,135307.4,76212.87,58.19,8.72,3.37,4605,71.3,54.02,68.99,50.72,63.06,56.87,52.15,69.03,55.59,77.45,52.59,54.93,52.3,52.66,79.87,56.73,36.2,48.57,48.34,55.62,7.25,10.69,9.17,8.4,8.68,13.21,14.98,17.47,17.54,17.14,15.57,23.27,-0.26,-0.26,-0.46,-0.41,0.28,0.3,11567.31,4604.4,0,0,4604,4604,4604,4605,4604
3,23.85,88.04,96.09,0.6,6.81,193581,41.46,4602,185.08,32.94,0.58,6.76,6.77,139863.5,74572.03,58.23,8.89,0,4602,71.3,54.09,69.32,51.09,63.14,57.61,52.41,68.92,55.81,77.42,52.84,55.15,52.7,52.99,80.02,57.06,35.63,49.52,47.96,54.85,6.87,10.69,9.17,8.4,8.68,13.97,15.17,17.66,24.63,17.54,15.57,23.66,-0.25,-0.26,-0.46,-0.41,0.27,0.29,11560.38,4601.8,0,0,4602,4602,4602,4601,4601
4,25.83,87.93,96.09,0.6,7.07,192915.6,43.19,4629,184.5,33.06,0.58,6.74,6.75,141045.5,76553.62,58.52,8.99,4.81,4629,71.38,54.13,69.51,51.16,63.32,57.68,52.55,68.88,55.92,77.53,52.92,55.33,52.73,53.14,79.91,57.24,34.3,46.28,44.15,53.33,6.68,10.5,9.93,9.74,9.24,13.4,15.17,17.66,21.88,21.09,14.98,19.72,-0.25,-0.25,-0.45,-0.4,0.27,0.29,11625.76,4627.79,0,0,4629,4629,4628,4628,4628
5,27.06,87.78,95.98,0.6,7.09,193168.9,44.21,4608,182.01,33.06,0.58,6.69,6.7,140388.9,75108.27,58.67,8.85,3.4,4608,71.3,54.35,69.65,50.83,63.32,57.94,52.48,68.77,55.88,77.49,53.06,55.33,52.44,53.03,79.8,57.13,33.92,46.66,43.01,56.19,7.25,10.5,10.89,10.12,9.24,13.21,15.36,17.66,20.1,21.68,14.19,22.28,-0.24,-0.24,-0.45,-0.4,0.27,0.29,11577.52,4608.5,0,0,4608,4608,4608,4609,4609
6,28.02,88.07,95.92,0.6,7.69,192781.1,44.24,4600,185.08,32.74,0.58,6.7,6.7,139181.6,74531.84,58.52,9.1,0,4601,71.3,54.13,69.69,50.83,63.14,57.9,52.44,68.99,55.92,77.6,52.84,55.26,52.37,52.95,79.8,57.02,35.25,49.71,45.48,56.95,6.87,10.12,9.74,8.4,8.87,12.84,14.98,17.28,19.9,19.51,14.39,21.89,-0.23,-0.24,-0.44,-0.4,0.27,0.29,11557.42,4600.55,0,0,4600,4600,4600,4601,4600
7,28.7,88.18,95.83,0.61,7.11,194077.7,44.48,4610,184.28,32.52,0.58,6.66,6.67,140978,74828.76,58.48,8.88,0,4608,71.12,54.02,69.58,50.61,62.99,56.98,52.3,69.18,55.63,77.64,52.73,55.15,52.15,52.88,79.87,56.91,35.63,47.23,46.05,58.28,6.49,10.31,9.55,8.02,8.87,13.4,15.17,17.47,23.06,16.55,13.21,18.93,-0.23,-0.23,-0.45,-0.4,0.27,0.29,11577.99,4608.59,0,0,4610,4609,4610,4609,4610
8,29.59,88.48,95.8,0.6,7.04,195843.4,44.58,4603,184.2,32.3,0.58,6.8,6.81,142467.5,76930.16,58.3,8.8,3.36,4602,71.23,53.87,69.73,50.57,63.17,57.42,52.19,69.18,55.66,77.45,52.59,55.12,52.44,52.77,79.87,56.95,35.06,49.33,49.29,56.57,7.25,9.93,9.17,8.79,8.68,11.89,14.98,17.28,19.71,17.74,15.37,23.46,-0.23,-0.23,-0.45,-0.4,0.26,0.29,11560.16,4601.59,0,0,4603,4602,4602,4602,4602
9,29.97,88.77,95.71,0.6,7.08,197586.1,44.65,4620,185.52,32.4,0.58,6.81,6.82,141667.5,75730.15,58.23,9.12,3.36,4621,71.27,53.87,69.76,50.57,63.21,57.42,52.44,69.1,55.66,77.64,52.66,55.15,52.44,52.84,79.98,57.02,35.44,47.99,51,58.85,7.83,10.5,9.55,8.21,9.05,13.02,15.17,17.66,17.74,18.52,13.21,18.93,-0.22,-0.23,-0.45,-0.4,0.27,0.29,11609.38,4620.92,0,0,4620,4621,4620,4621,4621
10,30.1,88.66,95.71,0.6,7.46,193808.7,43.46,4600,185.16,32.4,0.58,6.75,6.76,141181.5,75911.91,58.04,8.86,0,4599,71.27,54.09,69.47,50.79,63.28,57.68,52.3,69.18,55.74,77.53,52.73,55.15,52.48,52.81,80.35,56.91,39.82,47.8,49.67,62.09,7.25,9.93,9.36,8.98,8.87,11.7,14.98,17.66,19.71,14.19,14.98,21.69,-0.22,-0.22,-0.46,-0.4,0.27,0.29,11549.07,4599.24,0,0,4600,4599,4600,4599,4600
11,28.33,88.4,95.63,0.6,6.98,192698.6,45.29,4629,183.84,32.57,0.58,6.87,6.88,141137.1,75856.27,58.12,8.74,3.4,4629,71.38,53.98,69.8,50.61,63.28,57.5,52.37,69.18,55.7,77.6,52.59,55.19,52.59,52.92,79.65,57.06,36.97,48.57,50.43,60,7.25,10.12,9.93,8.79,10.56,13.4,15.36,18.62,18.92,18.92,13.21,18.53,-0.22,-0.23,-0.46,-0.4,0.26,0.29,11628.1,4628.45,0,0,4629,4629,4629,4628,4629
12,26.55,88.29,95.63,0.6,6.9,194203.7,43.6,4606,183.25,32.15,0.58,6.8,6.8,141180.6,75713.08,57.64,8.87,0,4607,71.19,53.87,69.62,50.54,63.14,57.17,52.11,69.14,55.55,77.56,52.66,55.23,52.44,52.77,80.02,56.87,39.06,51.99,53.48,59.42,7.25,9.93,9.74,8.79,10.56,13.21,15.74,19.2,16.55,16.16,15.77,21.29,-0.23,-0.23,-0.46,-0.4,0.27,0.3,11573.38,4607.05,0,0,4606,4606,4606,4607,4607
13,26.82,88.18,95.77,0.6,6.91,192373.1,42.92,4598,183.4,31.67,0.58,6.81,6.82,142129.7,75375.16,57.64,8.98,0,4597,71.12,53.72,69.21,50.46,63.17,57.17,52.11,69.43,55.48,77.45,52.41,54.86,52.26,52.44,80.05,56.73,37.54,50.85,53.67,57.52,7.45,10.12,8.98,9.17,11.88,13.4,16.13,19.2,18.33,15.96,14.98,20.51,-0.23,-0.23,-0.47,-0.4,0.27,0.3,11551.8,4598.32,0,0,4598,4598,4598,4599,4599
14,26.55,87.96,95.74,0.6,7.04,197679.3,42.94,4607,182.37,31.76,0.58,6.75,6.76,142685.7,76791.7,57.5,8.85,3.46,4606,71.16,53.69,69.07,50.35,63.03,57.17,51.71,69.51,55.26,77.53,52.41,54.71,52.11,52.3,79.94,56.58,38.68,49.33,49.86,63.42,7.64,10.31,9.17,9.36,10.94,12.84,15.55,18.62,17.93,15.77,13.4,19.32,-0.23,-0.24,-0.46,-0.4,0.27,0.29,11576.08,4607.95,0,0,4607,4607,4607,4608,4607
15,26.96,87.78,95.77,0.6,6.83,192963.6,43.53,4602,182.45,31.59,0.58,6.74,6.75,135613.1,75601.87,57.61,8.91,0,4603,71.05,53.69,69.18,50.21,63.06,57.17,51.78,69.58,55.19,77.34,52.26,54.71,52.15,52.22,79.76,56.62,36.97,48.76,49.1,61.14,7.83,9.93,9.74,10.12,10,12.84,15.17,18.81,17.15,14.98,14.98,24.05,-0.23,-0.24,-0.46,-0.4,0.27,0.3,11560.07,4601.28,0,0,4602,4602,4602,4601,4601
16,24.87,88.59,95.86,0.6,6.84,193059.6,41.92,4624,182.81,31.49,0.58,6.75,6.75,140950,76452.77,57.35,9.13,3.44,4623,71.16,53.47,68.92,50.21,62.99,56.18,51.75,69.69,55.41,77.34,52.08,54.68,52.08,52.26,79.32,56.47,38.49,49.33,53.67,62.28,7.64,10.69,9.74,10.7,11.88,14.72,15.74,19.2,18.13,18.72,11.04,15.97,-0.23,-0.24,-0.45,-0.4,0.27,0.29,11615.27,4623.44,0,0,4624,4624,4625,4623,4624
17,22.86,87.85,95.83,0.6,6.73,192948.6,41.46,4609,182.74,31.3,0.58,6.78,6.79,140505.9,74730.62,57.31,8.96,3.44,4608,71.01,53.43,68.81,50.13,62.73,56.73,51.53,69.84,55.3,77.34,52.04,54.6,52,52.08,79.98,56.43,37.73,50.85,55.76,63.23,7.64,10.12,10.12,11.84,12.26,16.99,15.94,20.16,20.5,13.79,12.42,20.7,-0.24,-0.25,-0.46,-0.4,0.27,0.3,11581.12,4609.72,0,0,4609,4609,4609,4608,4609
18,21.93,87.56,95.89,0.6,6.64,193861.3,41.14,4609,182.52,31.03,0.58,6.79,6.8,141443.3,74987.85,57.86,8.84,3.39,4609,71.01,53.32,68.52,49.95,62.73,56.73,51.42,70.09,55.04,77.12,51.82,54.38,51.53,51.86,79.69,56.32,41.73,52.75,55.38,58.09,7.45,10.12,9.36,9.93,10.56,13.78,15.74,18.62,23.06,16.55,12.61,19.91,-0.24,-0.25,-0.45,-0.4,0.27,0.3,11577.76,4607.85,0,0,4609,4609,4608,4609,4609
19,18.31,87.2,95.83,0.6,6.67,198404.9,38.92,4605,182.74,30.62,0.58,6.74,6.74,140422.9,73556.23,57.9,8.58,3.45,4606,70.94,53.03,67.79,49.7,62.15,55.52,50.9,70.61,54.75,76.83,51.34,54.02,50.5,51.31,79.8,55.92,38.68,50.85,53.09,66.85,7.64,10.31,8.21,8.79,8.49,11.89,15.17,17.28,20.3,17.93,13.99,21.49,-0.26,-0.26,-0.45,-0.4,0.28,0.3,11565.81,4604.09,0,0,4605,4605,4605,4605,4605
20,17.83,86.87,95.8,0.6,6.59,194924,39.06,4607,183.4,30.35,0.58,6.72,6.73,142168.1,75829.09,58.15,8.64,3.46,4607,70.86,52.92,67.86,49.7,62.11,55.77,50.87,70.79,54.68,77.01,51.27,53.76,50.68,51.27,79.91,55.85,40.78,50.28,53.09,60.57,7.25,10.31,8.98,9.74,8.49,12.65,15.17,17.47,22.07,18.13,14.98,22.48,-0.26,-0.26,-0.46,-0.4,0.27,0.29,11570.93,4605.68,0,0,4607,4607,4607,4607,4607
21,17.39,86.83,95.83,0.6,6.53,197248.9,39.62,4604,183.03,30.01,0.58,6.76,6.77,137122,74126.31,57.46,9.3,0,4601,70.94,52.77,67.79,49.59,62,55.96,50.72,70.94,54.53,76.94,51.31,53.58,50.43,51.2,79.72,55.7,37.54,50.28,50.81,59.42,7.25,10.69,8.79,8.6,8.49,12.46,15.17,17.85,20.69,19.51,13.99,20.11,-0.26,-0.27,-0.45,-0.4,0.28,0.3,11566.62,4604.02,0,0,4604,4604,4604,4603,4603
22,17.05,86.65,95.89,0.6,6.66,192716.1,39.01,4603,183.03,29.83,0.58,6.74,6.75,141782.1,73215.56,57.42,8.6,0,4604,70.94,52.7,67.53,49.7,61.85,55.74,50.72,71.08,54.38,76.76,51.12,53.58,50.13,50.94,79.43,55.7,36.39,50.47,51.57,62.85,7.83,10.31,8.4,8.6,9.05,13.97,15.17,18.05,25.42,20.1,15.18,23.07,-0.27,-0.27,-0.47,-0.4,0.27,0.29,11563.84,4603,0,0,4603,4603,4603,4603,4603
23,16.02,86.83,95.83,0.6,6.67,196771.4,38.45,4601,183.55,29.96,0.58,6.71,6.72,142458,74765.1,57.68,8.97,0,4603,70.83,52.77,67.46,49.55,61.63,55.04,50.57,71.08,54.35,76.65,51.05,53.54,50.02,50.94,79.83,55.59,37.35,49.33,54.43,53.71,7.45,9.54,8.4,9.36,8.3,12.27,14.98,17.66,27.79,18.72,13.4,20.7,-0.27,-0.27,-0.47,-0.4,0.28,0.3,11559.64,4602.44,0,0,4601,4601,4601,4601,4601
24,16.19,86.43,95.86,0.6,6.61,195466.3,39.6,4595,183.55,29.83,0.58,6.71,6.71,139824.5,74969.58,57.42,8.65,0,4595,70.83,52.84,67.49,49.55,61.56,55.41,50.57,71.27,54.35,76.72,51.05,53.43,49.88,50.83,79.29,55.59,36.59,51.99,53.09,56.19,7.45,9.93,9.17,8.4,8.11,13.4,14.98,18.05,26.21,22.46,15.18,21.29,-0.27,-0.27,-0.48,-0.4,0.28,0.3,11545.11,4595.69,0,0,4595,4595,4595,4596,4596
25,16.4,86.32,95.92,0.6,7.14,192809.6,39.11,4587,183.69,29.91,0.58,6.7,6.71,139545.6,74711.68,57.31,8.71,3.41,4588,70.86,52.77,67.42,49.48,61.63,55.41,50.5,71.08,54.38,76.79,51.01,53.39,49.77,50.87,79.03,55.33,37.16,51.8,51.19,55.23,7.64,10.12,9.36,8.21,8.68,13.78,15.36,18.05,20.5,21.87,17.34,26.22,-0.27,-0.27,-0.48,-0.4,0.28,0.3,11524.5,4587.6,0,0,4587,4588,4588,4587,4587
26,16.77,86.61,95.98,0.6,7.01,198973.9,39.55,4612,182.52,30.01,0.58,6.81,6.82,142799.6,75412.34,57.42,8.97,0,4611,70.86,52.77,67.46,49.59,61.85,55.77,50.57,70.83,54.38,76.9,51.01,53.5,49.84,51.12,79.29,55.7,37.35,49.71,48.15,54.09,7.25,9.93,8.6,8.02,8.68,12.27,15.36,18.05,25.42,23.06,13.01,19.13,-0.27,-0.27,-0.48,-0.4,0.28,0.29,11583.28,4611.06,0,0,4612,4612,4612,4612,4611
27,17.66,86.57,95.89,0.61,6.81,195822,41.82,4599,180.18,30.3,0.58,6.71,6.71,142185.9,74519.3,57.57,8.86,3.42,4600,70.79,52.95,67.68,49.66,62.07,55.7,50.68,70.72,54.6,76.9,51.09,53.61,49.99,51.27,79.1,55.74,35.06,46.09,48.34,56.57,7.45,9.93,9.17,7.83,8.3,12.08,15.17,17.66,26.41,19.51,13.4,19.52,-0.27,-0.27,-0.48,-0.4,0.27,0.29,11555.52,4599.85,0,0,4599,4600,4600,4600,4600
28,19.51,87.12,95.86,0.6,6.81,190764.7,40.02,4601,183.25,30.52,0.58,6.71,6.72,140047.5,74013.77,57.57,9.03,0,4598,70.79,52.99,67.79,49.77,62.29,55.7,50.9,70.5,54.75,77.01,51.34,53.83,49.99,51.53,79.32,55.99,35.44,47.23,46.43,57.33,7.06,9.93,8.6,8.21,8.49,12.46,14.98,17.66,28.58,19.9,14.19,19.13,-0.26,-0.27,-0.48,-0.4,0.28,0.29,11559.08,4600.28,0,0,4601,4601,4601,4600,4601
29,21.25,87.23,95.86,0.6,7.13,195336.4,40.63,4612,183.18,30.86,0.58,6.72,6.73,143022.8,74861.71,57.9,9,3.42,4611,71.05,53.32,68.12,49.95,62.51,56.25,51.05,70.28,54.9,77.2,51.67,53.98,50.32,51.82,79.87,56.07,34.49,50.47,46.81,56.19,8.02,10.69,9.36,8.6,8.68,11.7,15.17,17.47,23.06,25.81,16.36,22.08,-0.26,-0.26,-0.48,-0.4,0.28,0.29,11585.03,4611.31,0,0,4612,4611,4612,4611,4612
30,22.99,87.63,95.74,0.6,7.04,195891.6,41.11,4606,183.03,31.32,0.58,6.69,6.7,135412.7,74183.63,57.61,8.65,3.42,4604,71.08,53.47,68.23,50.13,62.88,56.32,51.34,70.06,55.12,77.09,51.82,54.27,50.57,51.86,79.69,56.29,33.54,46.09,46.05,59.04,7.64,10.12,8.21,9.55,8.68,13.78,15.55,18.43,26.41,21.28,13.8,21.29,-0.25,-0.25,-0.48,-0.4,0.28,0.29,11568.93,4605.04,0,0,4606,4606,4606,4606,4606
31,24.67,88.4,95.57,0.6,6.99,198935.9,42.21,4615,184.42,31.54,0.58,6.75,6.76,141582.2,76851.02,57.64,8.75,3.47,4616,71.19,53.54,68.63,50.35,62.84,56.87,51.6,69.8,55.33,77.49,52.08,54.46,50.9,52.19,79.83,56.58,34.68,46.09,44.72,60.95,7.45,10.5,8.98,8.79,8.87,12.27,14.98,17.66,24.83,21.48,13.6,19.91,-0.25,-0.25,-0.47,-0.4,0.27,0.29,11594.88,4615.19,0,0,4615,4615,4615,4615,4615
32,26.51,87.71,95.45,0.6,7.12,196074.6,46.78,4580,185.01,31.81,0.58,6.64,6.65,142518.8,76057.28,57.94,8.86,0,4580,71.08,53.65,69.14,50.13,63.06,56.87,51.75,69.69,55.19,77.42,52.37,54.68,50.98,52.19,79.25,56.47,33.54,47.04,43.77,61.71,7.45,9.54,8.98,8.6,8.87,12.27,15.17,17.66,23.45,18.13,16.95,25.24,-0.24,-0.25,-0.47,-0.4,0.27,0.29,11505.1,4579.72,0,0,4580,4580,4580,4580,4580
33,27.2,88.59,95.36,0.6,7.18,200696.8,44.65,4620,184.35,31.96,0.58,6.82,6.82,138125.9,76044.44,57.97,8.76,0,4620,71.16,53.65,69.21,50.46,63.03,56.87,51.86,69.51,55.3,77.45,52.37,54.75,51.27,52.52,79.54,56.8,34.3,46.66,45.48,60.57,6.87,10.5,8.98,8.4,9.05,13.21,15.55,17.28,24.63,23.06,13.99,18.73,-0.24,-0.24,-0.48,-0.4,0.27,0.29,11605.05,4619.42,0,0,4620,4620,4619,4619,4620
34,27.71,88.44,95.3,0.6,7.28,195545.1,44.12,4600,184.13,31.81,0.58,6.69,6.69,141279.9,74212.59,57.83,9.09,0,4600,71.23,53.72,69.14,50.39,63.14,56.98,51.86,69.47,55.41,77.6,52.37,54.9,51.09,52.44,79.54,56.76,36.2,48.37,45.1,59.62,7.45,10.88,8.98,9.17,8.68,12.84,15.74,17.85,27.98,19.31,12.61,19.72,-0.23,-0.23,-0.48,-0.4,0.27,0.29,11556.71,4600.2,0,0,4600,4600,4600,4600,4600
35,28.09,88.33,95.36,0.6,6.86,195792.3,44.75,4603,275.39,31.76,0.58,6.65,6.66,139299.1,75175.09,57.97,8.73,0,4603,71.16,53.8,69.25,50.46,63.1,56.76,51.86,69.54,55.44,77.53,52.33,54.79,51.05,52.3,79.65,56.73,35.25,48.37,48.91,60.19,7.06,10.12,8.79,8.79,8.87,12.65,15.17,17.85,26.41,20.49,13.8,19.32,-0.23,-0.23,-0.47,-0.4,0.27,0.29,11564.27,4603.26,0,0,4603,4603,4603,4603,4603
36,26,88.59,95.24,0.6,6.89,202307.4,45.8,4590,300,31.84,0.58,6.64,6.64,140368.2,74359.16,58.26,8.78,0,4590,71.16,53.69,69.18,50.35,62.99,56.73,51.78,69.43,55.37,77.49,52.26,54.86,51.05,52.37,79.47,56.62,37.54,50.09,49.86,64.38,7.45,9.73,8.98,9.36,8.87,13.4,15.55,17.85,25.42,19.71,15.37,20.9,-0.23,-0.24,-0.47,-0.4,0.27,0.28,11530.52,4589.77,0,0,4590,4590,4590,4589,4590
37,24.02,88.4,95.33,0.61,6.87,193654.1,44.65,4611,300,31.98,0.58,6.75,6.75,140134.7,76414.15,58.63,9.28,4.93,4611,71.27,53.76,69.18,50.39,63.03,56.95,51.93,69.47,55.41,77.56,52.33,54.79,51.05,52.44,79.4,56.73,36.39,48.95,49.86,60.38,7.25,10.69,9.17,8.98,8.68,12.46,15.74,17.85,27.79,23.65,13.4,18.14,-0.24,-0.24,-0.47,-0.4,0.27,0.28,11582.99,4610.71,0,0,4611,4611,4611,4610,4611
38,22.93,87.71,95.27,0.6,7.1,196776.2,43.43,4594,247.19,31.81,0.58,6.73,6.73,141421.1,75004.75,58.34,8.81,0,4595,71.19,53.65,68.77,50.39,62.88,56.47,51.67,69.69,55.12,77.34,52.15,54.57,50.68,52.19,79.32,56.47,38.11,50.28,54.24,58.66,7.06,10.5,9.17,8.79,9.05,13.02,15.55,17.66,24.24,22.66,14.59,22.08,-0.25,-0.25,-0.47,-0.4,0.27,0.29,11541.93,4594.49,0,0,4594,4594,4593,4594,4594
39,22.93,88.55,95.3,0.6,6.88,195262.3,42.46,4596,300,31.59,0.58,6.76,6.77,134121.8,75732.75,58.19,8.35,3.42,4596,71.16,53.61,68.67,50.39,62.95,56.65,51.78,69.84,55.12,77.53,52.15,54.46,50.79,52.3,79.72,56.62,38.87,50.09,52.71,59.42,7.64,10.88,8.98,8.02,8.68,11.51,15.36,17.85,24.83,22.66,13.99,19.72,-0.25,-0.25,-0.47,-0.4,0.27,0.29,11551.62,4596.51,0,0,4596,4597,4596,4597,4596
40,22.52,88.26,95.24,0.6,6.9,197234,42.43,4608,272.97,31.64,0.58,6.79,6.79,140973.6,75198.93,57.86,8.76,0,4608,71.12,53.61,68.67,50.46,63.06,56.36,51.6,69.84,55.23,77.49,52.04,54.57,50.94,52.37,79.54,56.62,36.59,49.14,53.29,57.71,7.25,10.5,9.36,8.98,8.49,12.84,15.36,18.24,24.24,23.25,14.39,23.46,-0.25,-0.25,-0.47,-0.4,0.26,0.28,11577.61,4608.73,0,0,4608,4608,4608,4609,4608
41,22.04,87.74,95.22,0.6,6.88,200875.9,42.14,4594,248.88,31.35,0.58,6.66,6.67,141493.8,73646.28,57.9,9.02,3.43,4594,71.05,53.54,68.59,50.32,62.88,56.47,51.53,69.84,55.12,77.34,52.15,54.46,50.68,52.08,79.21,56.47,40.01,51.23,50.62,60.38,7.45,10.31,8.98,8.02,8.68,13.4,15.36,17.85,22.07,20.89,14.78,21.1,-0.25,-0.25,-0.48,-0.4,0.27,0.29,11541,4594.04,0,0,4594,4594,4595,4594,4594
42,20.81,87.2,95.16,0.6,6.9,199753.5,45.34,4595,249.83,31.37,0.58,6.76,6.77,141234.7,73449.15,57.9,8.96,3.48,4594,71.08,53.5,68.67,50.28,62.73,56.36,51.34,69.95,55.23,77.34,52,54.38,50.57,51.97,79.14,56.47,36.59,50.47,49.1,54.09,7.64,10.31,8.6,8.4,8.68,13.78,15.55,17.85,22.86,20.49,13.6,19.91,-0.26,-0.26,-0.48,-0.4,0.27,0.28,11543.65,4595.08,0,0,4595,4595,4595,4596,4595
43,20.4,88.04,95.13,0.6,7.22,198224.9,41.31,4611,241.41,31.35,0.58,6.7,6.71,141142.6,73272.12,57.72,9.12,3.44,4610,70.94,53.43,68.67,50.21,62.88,55.88,51.42,69.98,55.01,77.09,51.89,54.38,50.76,52,79.47,56.29,41.73,49.14,50.43,57.71,7.25,10.12,8.98,9.17,8.68,12.84,15.17,17.09,26.01,23.25,13.6,17.35,-0.26,-0.26,-0.48,-0.4,0.27,0.29,11584,4611.1,0,0,4611,4612,4612,4611,4612
44,19.23,87.85,95.1,0.6,6.7,195137.5,42.14,4603,249.9,31.08,0.58,6.8,6.81,141048.2,74586.06,57.57,8.95,3.42,4603,71.05,53.47,68.59,50.06,62.77,56.51,51.23,70.06,55.08,77.34,51.89,54.31,51.16,52.04,79.8,56.21,38.11,49.9,53.86,58.28,7.25,10.31,8.79,8.4,8.49,13.02,15.55,17.85,20.5,23.06,13.4,20.11,-0.26,-0.26,-0.48,-0.4,0.27,0.29,11566.76,4604.07,0,0,4603,4604,4604,4604,4603
45,18.76,87.56,95.07,0.6,6.97,197817.9,42.07,4601,250.34,31.18,0.58,6.81,6.82,143186.3,73143.89,57.57,8.9,3.46,4598,71.08,53.32,68.52,49.99,62.73,56.47,51.34,70.06,54.93,77.16,51.75,54.24,51.27,52,80.09,56.07,37.54,50.28,54.62,59.62,7.45,10.12,8.79,8.4,8.68,13.4,15.36,17.85,27.2,19.71,13.21,21.49,-0.27,-0.27,-0.48,-0.4,0.27,0.29,11556.19,4599.98,0,0,4601,4600,4600,4601,4600
46,19.06,87.42,95.07,0.6,6.89,199643.9,42.21,4608,249.98,31.25,0.58,6.81,6.82,142993.4,75677.91,57.2,9.06,0,4607,71.16,53.39,68.56,50.02,62.73,56.8,51.34,69.98,54.97,77.27,51.78,54.46,51.45,51.93,80.02,56.21,36.01,48.57,49.1,59.42,7.83,10.12,8.98,8.6,10.37,13.02,15.74,19.2,22.07,22.66,13.4,19.91,-0.27,-0.27,-0.48,-0.4,0.27,0.3,11575.61,4607.78,0,0,4608,4608,4608,4608,4608
47,19.34,87.67,95.16,0.6,7.43,197355.4,42.21,4609,248.29,31.42,0.58,6.79,6.8,141162.6,73117.49,58.12,9.05,3.44,4608,71.05,53.58,68.56,50.24,62.95,56.84,51.42,69.98,55.15,77.34,51.97,54.35,51.53,52,80.16,56.36,36.01,48.37,48.91,56.57,7.25,10.5,8.98,8.21,8.87,11.89,15.55,17.66,26.21,19.51,13.01,19.52,-0.26,-0.27,-0.47,-0.4,0.28,0.3,11579.36,4609.27,0,0,4609,4609,4609,4609,4609
48,19.2,87.34,95.19,0.6,6.7,192267.1,41.94,4601,251.15,31.47,0.58,6.75,6.76,140268.7,74175.37,58.45,8.6,0,4601,71.08,53.43,68.23,50.24,62.81,56.51,51.45,69.91,55.19,77.09,51.89,54.46,51.16,52.08,79.58,56.21,36.59,49.14,52.52,61.33,7.25,10.12,9.36,9.36,8.3,12.46,15.17,17.85,25.23,23.45,13.6,19.91,-0.27,-0.27,-0.48,-0.4,0.28,0.3,11555.63,4599.75,0,0,4601,4601,4600,4601,4601
49,12.64,85.51,96.8,0.61,7.11,193639.9,39.72,4604,253.42,29.35,0.58,6.79,6.8,141972.8,77161.16,58.81,9,3.36,4604,71.3,54.6,68.74,51.86,63.25,58.7,53.21,68.96,56.32,78.11,53.17,55.44,52.99,53.47,80.16,57.35,38.3,49.14,55.19,58.47,7.06,9.93,11.08,9.93,9.05,11.89,14.98,17.66,25.82,19.51,13.01,17.94,-0.31,-0.32,-0.49,-0.4,0.28,0.29,11568.33,4604.12,0,0,4604,4604,4604,4604,4604
50,12.71,83.2,96.8,0.6,6.9,195174.3,38.87,4600,253.93,29.64,0.58,6.73,6.74,141666.2,75700.36,58.34,8.81,0,4600,71.34,54.68,69.25,51.78,63.43,58.85,53.21,68.85,56.21,78,53.17,55.74,52.88,53.43,80.13,57.24,37.35,51.61,49.29,59.23,6.68,10.69,9.36,9.36,9.24,12.84,14.78,17.28,24.04,19.71,13.21,20.11,-0.31,-0.31,-0.48,-0.41,0.28,0.3,11555.14,4599.52,0,0,4600,4600,4600,4600,4601
51,13.22,83.9,96.83,0.6,6.9,194513.6,38.92,4613,249.68,29.71,0.58,6.72,6.73,142103.2,77518.16,58.48,9.08,0,4613,71.48,54.64,69.36,51.93,63.39,58.74,53.06,68.77,56.32,78.19,53.17,55.81,53.21,53.83,80.2,57.31,38.87,49.52,47.2,58.28,6.68,10.88,10.12,8.6,9.43,12.84,14.98,17.28,27,22.86,14.19,20.7,-0.31,-0.31,-0.48,-0.4,0.28,0.3,11589.81,4613.98,0,0,4613,4614,4614,4613,4613
